food_id,name,group,portion_g,energy_kcal,protein_g,carbs_g,fat_g,calculated_kcal_from_macros,meal_suggestion,provenance
1024002,Xôi nếp cẩm,Ngũ cốc và sản phẩm chế biến,100,235.0,5.59,49.21,1.71,234.59,General,Viện Dinh dưỡng Quốc gia
1027014,"Ngô tươi, nếp, nướng",Ngũ cốc và sản phẩm chế biến,100,274.0,5.62,55.89,3.15,274.39,General,Viện Dinh dưỡng Quốc gia
1032,"Bánh mì, vuông, ngọt",Ngũ cốc và sản phẩm chế biến,100,384.0,7.89,52.63,15.79,384.19,General,Viện Dinh dưỡng Quốc gia
1038,Bánh bao chay,Ngũ cốc và sản phẩm chế biến,100,221.0,6.1,48.0,0.5,220.9,General,Viện Dinh dưỡng Quốc gia
1041,"Bánh đa (đỏ, trắng)",Ngũ cốc và sản phẩm chế biến,100,347.0,5.28,81.41,0.0,346.76,General,Viện Dinh dưỡng Quốc gia
1041002,"Bánh đa (đỏ, trắng), luộc",Ngũ cốc và sản phẩm chế biến,100,97.0,1.48,22.8,0.0,97.12,General,Viện Dinh dưỡng Quốc gia
1043,"Mỳ  ăn liền, lúa mì ",Ngũ cốc và sản phẩm chế biến,100,364.0,6.7,70.9,5.9,363.5,General,Viện Dinh dưỡng Quốc gia
1043002,"Mỳ ăn liền, lúa mì, luộc",Ngũ cốc và sản phẩm chế biến,100,102.0,1.88,19.86,1.65,101.81,General,Viện Dinh dưỡng Quốc gia
1045,Sợi mỳ Quảng,Ngũ cốc và sản phẩm chế biến,100,,5.32,82.23,0.27,352.63,General,Viện Dinh dưỡng Quốc gia
1046002,"Nui, luộc",Ngũ cốc và sản phẩm chế biến,100,371.0,13.0,74.7,1.51,364.39,General,Viện Dinh dưỡng Quốc gia
11001,Chuối nước đường,Đồ hộp,100,63.0,0.5,15.2,0.0,62.8,General,Viện Dinh dưỡng Quốc gia
11002,Dưa chuột hộp,Đồ hộp,100,19.0,0.3,4.16,0.14,19.1,General,Viện Dinh dưỡng Quốc gia
11003,Dứa hộp,Đồ hộp,100,57.0,0.3,13.84,0.06,57.1,General,Viện Dinh dưỡng Quốc gia
11004,Lạc chao dầu,Đồ hộp,100,680.0,25.7,10.3,59.5,679.5,General,Viện Dinh dưỡng Quốc gia
11005,Mắc coọc nước đường,Đồ hộp,100,58.0,0.2,14.4,0.0,58.4,General,Viện Dinh dưỡng Quốc gia
11006,Mận nước đường,Đồ hộp,100,62.0,0.3,14.9,0.1,61.7,General,Viện Dinh dưỡng Quốc gia
11007,Mứt bí ngô,Đồ hộp,100,201.0,0.5,49.8,0.0,201.2,General,Viện Dinh dưỡng Quốc gia
11008,Mứt cam có vỏ,Đồ hộp,100,227.0,0.4,56.4,0.0,227.2,General,Viện Dinh dưỡng Quốc gia
11009,Mứt chuối,Đồ hộp,100,224.0,0.7,55.2,0.0,223.6,General,Viện Dinh dưỡng Quốc gia
11010,Mứt dứa,Đồ hộp,100,210.0,0.5,51.9,0.0,209.6,General,Viện Dinh dưỡng Quốc gia
11011,Mứt đu đủ,Đồ hộp,100,186.0,0.4,46.1,0.0,186.0,General,Viện Dinh dưỡng Quốc gia
11012,Nhãn nước đường,Đồ hộp,100,66.0,0.5,16.0,0.0,66.0,General,Viện Dinh dưỡng Quốc gia
11013,Nước dứa hộp,Đồ hộp,100,41.0,0.3,9.74,0.06,40.7,General,Viện Dinh dưỡng Quốc gia
11014,Vải nước đường,Đồ hộp,100,65.0,0.4,15.8,0.0,64.8,General,Viện Dinh dưỡng Quốc gia
11015,Cá thu hộp,Đồ hộp,100,207.0,24.8,0.0,12.0,207.2,General,Viện Dinh dưỡng Quốc gia
11016,Cá trích hộp,Đồ hộp,100,233.0,22.3,3.5,14.4,232.8,General,Viện Dinh dưỡng Quốc gia
11017,Thịt bò hộp,Đồ hộp,100,251.0,16.4,0.0,20.6,251.0,General,Viện Dinh dưỡng Quốc gia
11018,Thịt gà hộp,Đồ hộp,100,273.0,17.0,0.0,22.8,273.2,General,Viện Dinh dưỡng Quốc gia
11019,Thịt lợn hộp,Đồ hộp,100,344.0,17.3,2.7,29.3,343.7,General,Viện Dinh dưỡng Quốc gia
11020,"Thịt lợn, thịt bò xay hộp",Đồ hộp,100,244.0,16.0,0.0,20.0,244.0,General,Viện Dinh dưỡng Quốc gia
11021,Thịt vịt hầm,Đồ hộp,100,224.0,19.6,0.0,16.2,224.2,General,Viện Dinh dưỡng Quốc gia
11022,Cá ngừ hộp,Đồ hộp,100,85.0,19.0,0.08,0.94,84.78,General,Viện Dinh dưỡng Quốc gia
11023,Cá nục hộp,Đồ hộp,100,233.0,22.3,3.5,14.4,232.8,General,Viện Dinh dưỡng Quốc gia
12001,Bánh bích cốt,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,349.0,12.3,72.1,1.3,349.3,General,Viện Dinh dưỡng Quốc gia
12002,Bánh bích quy,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,378.0,8.8,75.6,4.5,378.1,General,Viện Dinh dưỡng Quốc gia
12003,Bánh chả,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,399.0,3.4,81.5,6.6,399.0,General,Viện Dinh dưỡng Quốc gia
12004,Bánh con cá,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,369.0,7.5,79.8,2.2,369.0,General,Viện Dinh dưỡng Quốc gia
12005,Bánh đậu xanh,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,420.0,15.6,63.5,11.5,419.9,General,Viện Dinh dưỡng Quốc gia
12006,Bánh kem xốp,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,506.0,8.3,64.2,24.0,506.0,General,Viện Dinh dưỡng Quốc gia
12007,Bánh khảo chay,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,377.0,3.2,90.4,0.3,377.1,General,Viện Dinh dưỡng Quốc gia
12008,Bánh quế,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,436.0,8.3,76.7,10.7,436.3,General,Viện Dinh dưỡng Quốc gia
12009,Bánh sô cô la,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,449.0,3.9,68.8,17.6,449.2,General,Viện Dinh dưỡng Quốc gia
12010,Bánh thỏi sô cô la,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,543.0,4.9,62.5,30.4,543.2,General,Viện Dinh dưỡng Quốc gia
12011,Bánh trứng nhện,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,369.0,9.6,74.4,3.7,369.3,General,Viện Dinh dưỡng Quốc gia
12012,Bột ca cao,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,423.0,23.3,44.2,17.0,423.0,General,Viện Dinh dưỡng Quốc gia
